Mouse symbol	Group	log2FC	Significance.level
Ergic3	old	-0.00476722808716089	0
Ergic3	new	0.245600624131938	1
Cdhr1	old	-0.00453305929306004	0
Cdhr1	new	1.32840503872979	1
Fat1	old	0.00103577454097389	0
Fat1	new	0.392459163229836	1.5
Slc22a2	old	-0.00241797420055262	0
Slc22a2	new	1.21138135449474	1.5
Rpl13	old	-0.488929716243593	1.5
Rpl13	new	-0.0680611673089194	0
Vamp1	old	-0.380520348246416	1.5
Vamp1	new	-0.336791267508132	0
Rps13	old	-0.334659523912236	1.5
Rps13	new	-0.0482472107659221	0
Rpl13a	old	-0.272130549192652	1.5
Rpl13a	new	-0.114477482673367	0
Rpl35a	old	-0.248081807682839	1.5
Rpl35a	new	0.0302404089848624	0
Cplx1	old	-0.328486119185796	1.5
Cplx1	new	-0.197244057189664	0
Rps8	old	-0.227205265026991	1.5
Rps8	new	-0.120382308569266	0
Kcnip3	old	-0.247045367849911	1.5
Kcnip3	new	-0.10511235571087	0
Rpl27	old	-0.433371114878072	1.5
Rpl27	new	-0.148887314467314	0
Tmbim1	old	-0.402927382574516	1.5
Tmbim1	new	0.157642522875104	0
Myl12b	old	-0.290337334999127	1.5
Myl12b	new	0.134948421631152	0
Rpl8	old	-0.212001674063069	1.5
Rpl8	new	-0.0857036856624231	0
Efhd2	old	-0.220051183457595	1.5
Efhd2	new	-0.0581550299138518	0
Scrt1	old	-0.219270147327646	1.5
Scrt1	new	-0.140242294313639	0
Prrt2	old	-0.224745107957369	1.5
Prrt2	new	-0.0144923844471939	0
Alcam	old	0.205518516591051	1.5
Alcam	new	0.0357753665781908	0
Epha5	old	0.246022964070653	1.5
Epha5	new	0.0431847980006137	0
Acp7	old	-1.773204121012	1.5
Acp7	new	-0.250758291304239	0
Pink1	old	-0.206580866698953	1.5
Pink1	new	-0.07839576793721	0
Fau	old	-0.246875689888771	1.5
Fau	new	-0.0704721930903555	0
Inf2	old	-0.389151613267511	1.5
Inf2	new	-0.287023688357348	0
Acvr2a	old	0.26182596593869	1.5
Acvr2a	new	0.0943611989603544	0
Rps24	old	-0.196846822459133	1.5
Rps24	new	0.0183341903512401	0
Trnp1	old	-0.238114113095387	1.5
Trnp1	new	-0.034942903016891	0
Ak4	old	0.494352190049781	1.5
Ak4	new	0.350164036189106	0
Cox8a	old	-0.246336862505714	1.5
Cox8a	new	0.0680443913646806	0
Rplp1	old	-0.30155177194756	1.5
Rplp1	new	0.019595934959426	0
Rhog	old	-0.489645890833376	1.5
Rhog	new	-0.233010299023053	0
Pnkd	old	-0.174727158330055	1.5
Pnkd	new	-0.0603728070018835	0
Rps23	old	-0.243629577682518	1.5
Rps23	new	0.132285880156498	0
Rpl24	old	-0.209435838735843	1.5
Rpl24	new	-0.0660645429525158	0
Tmem254a	old	-1.31311660102897	1.5
Tmem254a	new	0.239614266743081	0
Tsc22d4	old	-0.323921821189846	1.5
Tsc22d4	new	0.026613098395072	0
Plxnb3	old	-0.39102592252029	1.5
Plxnb3	new	-0.230588619145435	0
Akap5	old	0.237308997952389	1.5
Akap5	new	0.0902129380209331	0
Arid4a	old	0.270899202155858	1.5
Arid4a	new	-0.00461114456043758	0
Apod	old	-0.437335067707203	1.5
Apod	new	-0.124724250964789	0
Hapln2	old	-0.654770221902212	1.5
Hapln2	new	-0.237175105256963	0
Glra3	old	0.585736488315812	1.5
Glra3	new	0.106564101727866	0
Col6a2	old	-0.480067363476042	1.5
Col6a2	new	-0.183902854777156	0
Adgrd1	old	-0.497517015598046	1.5
Adgrd1	new	-0.361290798224126	0
Myrf	old	-0.576560620649931	1.5
Myrf	new	-0.287404435825894	0
Csrp1	old	-0.270506797393105	1.5
Csrp1	new	-0.0377875591653439	0
Ckb	old	-0.237616234467244	1.5
Ckb	new	-0.0585936055734756	0
Rpl34	old	-0.266400329720463	1.5
Rpl34	new	-0.079999507113225607	0
Rpl19	old	-0.192591755240026	1.5
Rpl19	new	0.0253474490309355	0
Fxyd7	old	-0.249977993378124	1.5
Fxyd7	new	-0.0744204826457159	0
Efnb2	old	0.250081148464366	1.5
Efnb2	new	0.133569754152847	0
Chchd10	old	-0.273568964703137	1.5
Chchd10	new	0.0854419398805143	0
Gtf3c4	old	0.421348081343425	1.5
Gtf3c4	new	0.0338061339594641	0
Gstm1	old	-0.235638237253056	1.5
Gstm1	new	0.043047127500148	0
Chl1	old	0.301734975532495	1.5
Chl1	new	0.0431232579340244	0
Olig1	old	-0.293561955167072	1.5
Olig1	new	-0.129407738245321	0
Rpl10a	old	-0.284806735751935	1.5
Rpl10a	new	0.0143203006097103	0
Plxdc1	old	-0.487647130767869	1.5
Plxdc1	new	-0.354463519616989	0
Wbp2	old	-0.157356933533206	1.5
Wbp2	new	0.0384635510137577	0
Vwa3b	old	1.53148355713657	1.5
Vwa3b	new	0.939831845193272	0
Epha6	old	0.479887505387172	1.5
Epha6	new	0.0678329361646397	0
Neat1	old	-0.515478557951767	1.5
Neat1	new	-0.124055827756664	0
Ccnd2	old	0.363521901163394	1.5
Ccnd2	new	0.332963209007501	0
Ptprf	old	0.23907499468493	1.5
Ptprf	new	0.057409427517252	0
Adssl1	old	-0.383905625805874	1.5
Adssl1	new	-0.293257168767099	0
Plekhg3	old	-0.540891662560027	1.5
Plekhg3	new	-0.0675781840055593	0
Cbx5	old	0.167689433594288	1.5
Cbx5	new	0.113771479030709	0
Ubald1	old	-0.182594720947669	1.5
Ubald1	new	0.0371448607661719	0
Scn1b	old	-0.223718926190434	1.5
Scn1b	new	-0.0694209765912062	0
Cdc73	old	0.30717229810662	1.5
Cdc73	new	0.0401755444844608	0
H2-T23	old	-0.374094999630343	1.5
H2-T23	new	-0.139197670077336	0
Syt2	old	-0.56464104913724	1.5
Syt2	new	-0.827638575326355	0
Zyx	old	-0.257271038740594	1.5
Zyx	new	-0.0303258491944326	0
Fras1	old	0.310708817589077	1.5
Fras1	new	0.395162930233358	0
Tmem125	old	-0.784296423852062	1.5
Tmem125	new	0.0792685932801512	0
Gatm	old	-0.323444255318134	1.5
Gatm	new	-0.20508101496538	0
Rpl39	old	-0.324051151043809	1.5
Rpl39	new	-0.0743631664842857	0
Fmod	old	-0.511111953330552	1
Fmod	new	0.124053775911249	0
Pigt	old	-0.188463594931513	1
Pigt	new	0.0342480267741502	0
Npy	old	-0.218805816973082	1
Npy	new	0.0710657772935633	0
Selenom	old	-0.228344102417964	1
Selenom	new	0.0110100422197653	0
Sox18	old	-0.577451796157271	1
Sox18	new	0.194937815110626	0
Il1rapl1	old	0.356541550197749	1
Il1rapl1	new	-0.137958240474644	0
Apbb1	old	-0.146469585163153	1
Apbb1	new	-0.0948904541186909	0
Trpc5	old	0.383600653546941	1
Trpc5	new	-0.115385940200449	0
Adi1	old	-0.2864900465786	1
Adi1	new	-0.0294642975943897	0
Cryab	old	-0.442086619424451	1
Cryab	new	-0.0625645688447311	0
Cpne4	old	0.305336379737108	1
Cpne4	new	0.223204671497932	0
H3f3b	old	-0.218637721564756	1
H3f3b	new	0.0983350096356903	0
Mrpl52	old	-0.412344881795267	1
Mrpl52	new	0.0837548208221012	0
Dgkb	old	0.231767719815603	1
Dgkb	new	0.162071817431604	0
Tymp	old	-0.783431264979671	1
Tymp	new	-0.375131676841762	0
Dct	old	1.89304963171433	1
Dct	new	-0.0231640693848179	0
Atp5g1	old	-0.15359174117874	1
Atp5g1	new	0.0342675713501929	0
Rab37	old	-0.828194109540694	1
Rab37	new	0.0794355804753522	0
Efhd1	old	-0.446752515402316	1
Efhd1	new	-0.150663986401282	0
Rps5	old	-0.1800015700376	1
Rps5	new	-0.0603183444012458	0
Rpl18	old	-0.189179985972374	1
Rpl18	new	0.0408239298792492	0
Grm5	old	0.257424316952831	1
Grm5	new	-0.0226309220558805	0
Caln1	old	0.272547671771923	1
Caln1	new	0.239936027903049	0
Ttpal	old	0.170409184058901	1
Ttpal	new	0.0847338275598771	0
Klhl24	old	0.161892889846987	1
Klhl24	new	-0.0416496029325915	0
Nbeal2	old	0.400757016239868	1
Nbeal2	new	0.0279401363556251	0
Ntn5	old	-1.09276023846111	1
Ntn5	new	-0.363368540379836	0
Tmsb4x	old	-0.176314895562861	1
Tmsb4x	new	0.0243163830578908	0
Foxn3	old	-0.313112648401692	1
Foxn3	new	-0.0661697528157114	0
Sf3b4	old	-0.220995193777413	1
Sf3b4	new	0.00400349992409977	0
Dusp10	old	-0.576648897306759	1
Dusp10	new	-0.171107055424773	0
Muc3a	old	-0.380102889406926	1
Muc3a	new	-0.377124131728894	0
Nup160	old	0.401725412485981	1
Nup160	new	0.389013386815044	0
Stom	old	-0.446321408332641	1
Stom	new	-0.00999282713427292	0
Atp5e	old	-0.226214834490478	1
Atp5e	new	-0.0345842475336314	0
Tmem245	old	0.190213191087566	1
Tmem245	new	-0.154841072721431	0
Cox4i1	old	-0.178335534729037	1
Cox4i1	new	-7.22767738107996e-4	0
Lrrc27	old	0.704272546232842	1
Lrrc27	new	0.57684586354646	0
Rps26	old	-0.177849094705625	1
Rps26	new	0.0729866853897206	0
Swt1	old	0.868484198975666	1
Swt1	new	0.368497541884438	0
Plekhh1	old	-0.529754181301453	1
Plekhh1	new	-0.108765583639838	0
Epha7	old	0.266969845861079	1
Epha7	new	-0.0576052682847553	0
Casp3	old	0.347600282380231	1
Casp3	new	0.015076013351676	0
Edem3	old	0.187924122780988	1
Edem3	new	0.00975504693679963	0
Zkscan16	old	0.226902359708483	1
Zkscan16	new	-0.210101554246704	0
Vwa5b1	old	0.700782685166683	1
Vwa5b1	new	0.261589411762159	0
Phgdh	old	-0.271109356468619	1
Phgdh	new	0.202045149320147	0
Kcnn3	old	0.400833102914919	1
Kcnn3	new	0.24270210482839	0
Gapdh	old	-0.149728640515758	1
Gapdh	new	0.0272898569989868	0
Atp5k	old	-0.240460516952915	1
Atp5k	new	0.0903667179520357	0
Itpr1	old	0.151909272766003	1
Itpr1	new	0.0371253221027062	0
Grin2b	old	0.264935169148781	1
Grin2b	new	-0.121236772356582	0
Kcnf1	old	0.221443827857964	1
Kcnf1	new	0.147695123959369	0
Rpl29	old	-0.150052868978541	1
Rpl29	new	-0.022835222326834	0
Gucy1a2	old	0.37160324719953	1
Gucy1a2	new	-0.232189884122893	0
Mt2	old	-0.385877612871863	1
Mt2	new	0.131646165288391	0
Rpl32	old	-0.183855965875637	1
Rpl32	new	0.0384413291255896	0
Tomm34	old	-0.165560368989536	1
Tomm34	new	0.0781568743776927	0
Ppie	old	-0.37486678418469	1
Ppie	new	0.0521411060668434	0
Tenm1	old	0.361225077296419	1
Tenm1	new	-0.284002848561473	0
Cd9	old	-0.294229390020285	1
Cd9	new	0.0138436550162943	0
Rsf1	old	0.187078828124745	1
Rsf1	new	-0.00626372114521775	0
Kazald1	old	-0.730385128422629	1
Kazald1	new	-0.436556238848149	0
Slc44a1	old	-0.248520457565925	1
Slc44a1	new	-0.0624873980130268	0
H2-D1	old	-0.235265405174984	1
H2-D1	new	-0.150220748544963	0
Trhr	old	0.792465765485431	1
Trhr	new	0.634017651195689	0
Sema7a	old	-0.177794959091618	1
Sema7a	new	-0.110714166136797	0
Tmem63a	old	-0.550516298724572	1
Tmem63a	new	-0.317850768442622	0
Itga4	old	0.319954278604695	1
Itga4	new	-0.165609776511254	0
Kcnab2	old	-0.146322249993938	1
Kcnab2	new	-0.0599661816069802	0
Camk2g	old	-0.185648866535155	1
Camk2g	new	-0.232386914099696	0
Wdr6	old	0.183422284817568	1
Wdr6	new	0.145020465404367	0
Htr7	old	-0.398570941127538	1
Htr7	new	-0.415899215653689	0
Soga3	old	0.268279435282072	1
Soga3	new	0.15415098562684	0
1810013L24Rik	old	0.225286976130745	1
1810013L24Rik	new	-0.0719444588251992	0
Rpl26	old	-0.201788827697424	1
Rpl26	new	-0.0501135265274307	0
Nav3	old	0.250121287310762	1
Nav3	new	0.0093562844405611	0
Rps4x	old	-0.122596550739565	1
Rps4x	new	-0.102790067589693	0
Myo1d	old	-0.45980990712162	1
Myo1d	new	-0.169763355662096	0
Epb41l3	old	-0.222666135055784	1
Epb41l3	new	-0.285565744463455	0
Aldh1l1	old	-0.233606465921361	1
Aldh1l1	new	-0.144623861230935	0
Cabp7	old	-0.329992668440134	1
Cabp7	new	-0.297856177391632	0
Plekhb1	old	-0.357988166107309	1
Plekhb1	new	-0.121381599730882	0
Enho	old	-0.230231520713377	1
Enho	new	-0.0410379552805295	0
Hnrnpdl	old	0.169535882926095	1
Hnrnpdl	new	-0.0489726711448592	0
Yme1l1	old	0.195681214025194	1
Yme1l1	new	0.0405669789176029	0
Cckbr	old	-0.319476017856314	1
Cckbr	new	-0.0501530135308894	0
Pianp	old	-0.147339856272431	1
Pianp	new	-0.0359247229451532	0
Rpl38	old	-0.276218583193091	1
Rpl38	new	-0.133113724066584	0
Lrguk	old	0.421359563246824	1
Lrguk	new	0.0817798798084597	0
B3galt1	old	0.257136628931564	1
B3galt1	new	-0.142240022022309	0
Kcna3	old	0.325697102796473	1
Kcna3	new	0.021681978577838	0
Cmtm5	old	-0.288430583041466	1
Cmtm5	new	-0.0306764994931323	0
Apc	old	0.290303731855295	1
Apc	new	0.0554101361195407	0
Pacsin3	old	-0.302405422118979	1
Pacsin3	new	-0.190206709052949	0
Zc3h11a	old	0.292474972156648	1
Zc3h11a	new	-0.233030637997658	0
Htr1b	old	0.357175485783112	1
Htr1b	new	0.345543992319112	0
Fzd3	old	0.153692467242654	1
Fzd3	new	-0.023222965958257	0
Arhgef28	old	0.418597865267136	1
