Mouse symbol	FC.old	log2FC.old	fdr.old	log10.old	significant.level.old	FC.new	log2FC.new	fdr.new	log10.new	significant.level.new	grouping
Pdyn	1.19367632894572	0.255411695959334	0.232087160072963	0.6343488856694958	0	1.2196955214997	0.286521045782941	0.0139111435922176	1.8566371665302526	2	new
Sema5a	-1.17329940798103	-0.230571213955248	0.376841595786047	0.42384116579604914	0	-1.33335896105892	-0.415065228756822	0.0439660667117291	1.3568823854560084	2	new
Slc24a2	-1.13660336431596	-0.184728890847455	0.485463023702328	0.3138438434358795	0	-1.42387497565174	-0.509822475008084	0.030351879931708	1.517814404467399	2	new
Scn4b	-1.32157352973034	-0.402256695903583	0.640513529661992	0.19347169215585006	0	-1.35298410128369	-0.436144886517755	0.0125095305178958	1.9027589890526404	2	new
Adcy1	-1.01158701384174	-0.0166204217634767	0.960460659201389	0.017520419289179214	0	-1.22620308127977	-0.294197935058184	1.97017785713739e-5	4.705494566281699	3	new
Cpne6	1.14011271807818	0.189176464542194	0.331654526664175	0.47931407075560484	0	1.32367146128367	0.404545085896183	0.0436568041838832	1.3599480591927002	2	new
Lztr1	1.05454562804786	0.0766215189668366	0.761952336701291	0.11807219474312643	0	1.15456004031847	0.207343199199029	0.030351879931708	1.517814404467399	2	new
Tmem9	-1.01510980221491	-0.0216357890292999	0.948487905306563	0.02296820266895029	0	1.1839582867322	0.243618252770326	0.0362010296116619	1.4412790773037312	2	new
Pcdha9	-1.11997277694326	-0.163463665277278	0.851918148689818	0.06960212974031718	0	-1.7112872166611	-0.775081917207685	0.00260459528764682	2.584259749522429	3	new
Fam43a	-1.16589580544314	-0.221438862563063	0.314154075016564	0.5028573025062808	0	-1.33768993317359	-0.419743748480916	0.00659274997317141	2.180933394350485	3	new
Rsph10b	-1.08600967489285	-0.119036955681653	0.846798770417654	0.07221978126341404	0	-1.3159776649581	-0.396135003565838	0.0329320126605828	1.4823817262976788	2	new
Pcdhgb7	-1.08124192079837	-0.112689352756139	0.670308566060443	0.17372523060028952	0	-1.34511608246494	-0.42773068160715	0.0329320126605828	1.4823817262976788	2	new
Focad	-1.028995695669	-0.0412369473922655	0.917812378139366	0.037246089459650536	0	-1.26278663728822	-0.336610899355549	0.0329320126605828	1.4823817262976788	2	new
Clstn2	-1.1103392568552	-0.151000549910293	0.580521536819604	0.23618166369731133	0	-1.28456602525725	-0.361281045056318	0.0140300781904883	1.8529399086150484	2	new
Olfm3	-1.03610295862455	-0.0511673722490248	0.908573552478837	0.041639909145508684	0	-1.40090003188553	-0.486354008838861	0.0436568041838832	1.3599480591927002	2	new
